,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,rand_seed,interventions,location,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,id,imbalance,alpha
32,100.0,232.0,645.0,1418.0,3179.0,6385.0,0.0,0.0,0.0,2.0,2.0,3.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
33,100.0,160.0,226.0,274.0,291.0,296.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
34,100.0,220.0,598.0,1436.0,3147.0,6519.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Austria,43.17250442504883,1.271,20,16,20,ic0_a10,3.24871382713318,10.0
35,100.0,164.0,233.0,270.0,280.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Austria,43.17250442504883,1.271,20,16,20,ic0_a10,3.24871382713318,10.0
36,100.0,239.0,713.0,1793.0,4174.0,9237.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Niger,20.597864151000977,4.916,20,16,20,ic0_a10,3.24871382713318,10.0
37,100.0,185.0,328.0,410.0,447.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Niger,20.597864151000977,4.916,20,16,20,ic0_a10,3.24871382713318,10.0
38,100.0,261.0,638.0,1591.0,3599.0,7613.0,0.0,0.0,0.0,1.0,1.0,4.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,UK,41.243003845214844,2.0,20,16,20,ic0_a10,3.24871382713318,10.0
39,100.0,180.0,275.0,335.0,351.0,354.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,UK,41.243003845214844,2.0,20,16,20,ic0_a10,3.24871382713318,10.0
40,100.0,230.0,569.0,1354.0,2810.0,5522.0,0.0,0.0,0.0,1.0,3.0,4.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a10,3.24871382713318,10.0
41,100.0,166.0,235.0,270.0,292.0,293.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a10,3.24871382713318,10.0
42,100.0,232.0,645.0,1418.0,3179.0,6385.0,0.0,0.0,0.0,2.0,2.0,3.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
43,100.0,185.0,328.0,410.0,447.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Niger,20.597864151000977,4.916,20,16,20,ic0_a10,3.24871382713318,10.0
44,100.0,230.0,569.0,1354.0,2810.0,5522.0,0.0,0.0,0.0,1.0,3.0,4.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a10,3.24871382713318,10.0
45,100.0,185.0,328.0,410.0,447.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Niger,20.597864151000977,4.916,20,16,20,ic0_a10,3.24871382713318,10.0
46,100.0,261.0,638.0,1591.0,3599.0,7613.0,0.0,0.0,0.0,1.0,1.0,4.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,UK,41.243003845214844,2.0,20,16,20,ic0_a10,3.24871382713318,10.0
47,100.0,164.0,233.0,270.0,280.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Austria,43.17250442504883,1.271,20,16,20,ic0_a10,3.24871382713318,10.0
48,100.0,232.0,645.0,1418.0,3179.0,6385.0,0.0,0.0,0.0,2.0,2.0,3.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
49,100.0,166.0,235.0,270.0,292.0,293.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a10,3.24871382713318,10.0
50,100.0,220.0,598.0,1436.0,3147.0,6519.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Austria,43.17250442504883,1.271,20,16,20,ic0_a10,3.24871382713318,10.0
51,100.0,185.0,328.0,410.0,447.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Niger,20.597864151000977,4.916,20,16,20,ic0_a10,3.24871382713318,10.0
52,100.0,232.0,645.0,1418.0,3179.0,6385.0,0.0,0.0,0.0,2.0,2.0,3.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
53,100.0,185.0,328.0,410.0,447.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Niger,20.597864151000977,4.916,20,16,20,ic0_a10,3.24871382713318,10.0
54,100.0,232.0,645.0,1418.0,3179.0,6385.0,0.0,0.0,0.0,2.0,2.0,3.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
55,100.0,160.0,226.0,274.0,291.0,296.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
56,100.0,230.0,569.0,1354.0,2810.0,5522.0,0.0,0.0,0.0,1.0,3.0,4.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a10,3.24871382713318,10.0
57,100.0,164.0,233.0,270.0,280.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Austria,43.17250442504883,1.271,20,16,20,ic0_a10,3.24871382713318,10.0
58,100.0,230.0,569.0,1354.0,2810.0,5522.0,0.0,0.0,0.0,1.0,3.0,4.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a10,3.24871382713318,10.0
59,100.0,185.0,328.0,410.0,447.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Niger,20.597864151000977,4.916,20,16,20,ic0_a10,3.24871382713318,10.0
60,100.0,230.0,569.0,1354.0,2810.0,5522.0,0.0,0.0,0.0,1.0,3.0,4.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a10,3.24871382713318,10.0
61,100.0,180.0,275.0,335.0,351.0,354.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,UK,41.243003845214844,2.0,20,16,20,ic0_a10,3.24871382713318,10.0
62,100.0,220.0,598.0,1436.0,3147.0,6519.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Austria,43.17250442504883,1.271,20,16,20,ic0_a10,3.24871382713318,10.0
63,100.0,160.0,226.0,274.0,291.0,296.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
64,100.0,239.0,713.0,1793.0,4174.0,9237.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Niger,20.597864151000977,4.916,20,16,20,ic0_a10,3.24871382713318,10.0
65,100.0,160.0,226.0,274.0,291.0,296.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
66,100.0,232.0,645.0,1418.0,3179.0,6385.0,0.0,0.0,0.0,2.0,2.0,3.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
67,100.0,185.0,328.0,410.0,447.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Niger,20.597864151000977,4.916,20,16,20,ic0_a10,3.24871382713318,10.0
68,100.0,220.0,598.0,1436.0,3147.0,6519.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Austria,43.17250442504883,1.271,20,16,20,ic0_a10,3.24871382713318,10.0
69,100.0,166.0,235.0,270.0,292.0,293.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a10,3.24871382713318,10.0
70,100.0,232.0,645.0,1418.0,3179.0,6385.0,0.0,0.0,0.0,2.0,2.0,3.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
71,100.0,166.0,235.0,270.0,292.0,293.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a10,3.24871382713318,10.0
72,100.0,220.0,598.0,1436.0,3147.0,6519.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Austria,43.17250442504883,1.271,20,16,20,ic0_a10,3.24871382713318,10.0
73,100.0,160.0,226.0,274.0,291.0,296.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
74,100.0,232.0,645.0,1418.0,3179.0,6385.0,0.0,0.0,0.0,2.0,2.0,3.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
75,100.0,180.0,275.0,335.0,351.0,354.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,UK,41.243003845214844,2.0,20,16,20,ic0_a10,3.24871382713318,10.0
76,100.0,220.0,598.0,1436.0,3147.0,6519.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Austria,43.17250442504883,1.271,20,16,20,ic0_a10,3.24871382713318,10.0
77,100.0,164.0,233.0,270.0,280.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Austria,43.17250442504883,1.271,20,16,20,ic0_a10,3.24871382713318,10.0
78,100.0,232.0,645.0,1418.0,3179.0,6385.0,0.0,0.0,0.0,2.0,2.0,3.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Japan,47.6356315612793,1.33,20,16,20,ic0_a10,3.24871382713318,10.0
79,100.0,164.0,233.0,270.0,280.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Austria,43.17250442504883,1.271,20,16,20,ic0_a10,3.24871382713318,10.0
0,100.0,261.0,638.0,1591.0,3599.0,7613.0,0.0,0.0,0.0,1.0,1.0,4.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,UK,41.243003845214844,2.0,20,16,20,ic0_a5,0.34126024246215536,5.0
1,100.0,180.0,275.0,335.0,351.0,354.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,UK,41.243003845214844,2.0,20,16,20,ic0_a5,0.34126024246215536,5.0
2,100.0,220.0,598.0,1436.0,3147.0,6519.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Austria,43.17250442504883,1.271,20,16,20,ic0_a5,0.34126024246215536,5.0
3,100.0,164.0,233.0,270.0,280.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Austria,43.17250442504883,1.271,20,16,20,ic0_a5,0.34126024246215536,5.0
4,100.0,232.0,645.0,1418.0,3179.0,6385.0,0.0,0.0,0.0,2.0,2.0,3.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Japan,47.6356315612793,1.33,20,16,20,ic0_a5,0.34126024246215536,5.0
5,100.0,160.0,226.0,274.0,291.0,296.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Japan,47.6356315612793,1.33,20,16,20,ic0_a5,0.34126024246215536,5.0
6,100.0,230.0,569.0,1354.0,2810.0,5522.0,0.0,0.0,0.0,1.0,3.0,4.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a5,0.34126024246215536,5.0
7,100.0,166.0,235.0,270.0,292.0,293.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a5,0.34126024246215536,5.0
8,100.0,239.0,713.0,1793.0,4174.0,9237.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Niger,20.597864151000977,4.916,20,16,20,ic0_a5,0.34126024246215536,5.0
9,100.0,185.0,328.0,410.0,447.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Niger,20.597864151000977,4.916,20,16,20,ic0_a5,0.34126024246215536,5.0
10,100.0,232.0,645.0,1418.0,3179.0,6385.0,0.0,0.0,0.0,2.0,2.0,3.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Japan,47.6356315612793,1.33,20,16,20,ic0_a5,0.34126024246215536,5.0
11,100.0,166.0,235.0,270.0,292.0,293.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a5,0.34126024246215536,5.0
12,100.0,232.0,645.0,1418.0,3179.0,6385.0,0.0,0.0,0.0,2.0,2.0,3.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Japan,47.6356315612793,1.33,20,16,20,ic0_a5,0.34126024246215536,5.0
13,100.0,185.0,328.0,410.0,447.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Niger,20.597864151000977,4.916,20,16,20,ic0_a5,0.34126024246215536,5.0
14,100.0,232.0,645.0,1418.0,3179.0,6385.0,0.0,0.0,0.0,2.0,2.0,3.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Japan,47.6356315612793,1.33,20,16,20,ic0_a5,0.34126024246215536,5.0
15,100.0,164.0,233.0,270.0,280.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Austria,43.17250442504883,1.271,20,16,20,ic0_a5,0.34126024246215536,5.0
16,100.0,261.0,638.0,1591.0,3599.0,7613.0,0.0,0.0,0.0,1.0,1.0,4.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,UK,41.243003845214844,2.0,20,16,20,ic0_a5,0.34126024246215536,5.0
17,100.0,180.0,275.0,335.0,351.0,354.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,UK,41.243003845214844,2.0,20,16,20,ic0_a5,0.34126024246215536,5.0
18,100.0,220.0,598.0,1436.0,3147.0,6519.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Austria,43.17250442504883,1.271,20,16,20,ic0_a5,0.34126024246215536,5.0
19,100.0,185.0,328.0,410.0,447.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Niger,20.597864151000977,4.916,20,16,20,ic0_a5,0.34126024246215536,5.0
20,100.0,220.0,598.0,1436.0,3147.0,6519.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Austria,43.17250442504883,1.271,20,16,20,ic0_a5,0.34126024246215536,5.0
21,100.0,166.0,235.0,270.0,292.0,293.0,0.0,0.0,0.0,1.0,2.0,2.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a5,0.34126024246215536,5.0
22,100.0,239.0,713.0,1793.0,4174.0,9237.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Niger,20.597864151000977,4.916,20,16,20,ic0_a5,0.34126024246215536,5.0
23,100.0,160.0,226.0,274.0,291.0,296.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,pfizer,Japan,47.6356315612793,1.33,20,16,20,ic0_a5,0.34126024246215536,5.0
24,100.0,230.0,569.0,1354.0,2810.0,5522.0,0.0,0.0,0.0,1.0,3.0,4.0,14,35,hybrid,True,52376.4273796542,100.7070736621003,6181,none,Finland,43.34553527832031,1.0739999999999998,20,16,20,ic0_a5,0.34126024246215536,5.0
